Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Hemma pojken tystnade för att lyssna på fåglarna.	528	1	134	2	
1		trialprocedure	Hemma i Sverige sprang han till Sara.	529	2	231	5	
1		trialprocedure	Idag hon läste tidningen.	530	1	142	2	
1		trialprocedure	Kanske han väntade på henne i skoaffären.	531	1	122	2	
1		trialprocedure	Idag på morgonen tvättade pojken.	532	2	243	5	
1		trialprocedure	Hemma tittade han på Maria och log.	533	2	232	3	
1		trialprocedure	Idag flickan talade med Eva och Maria.	534	1	144	2	
1		trialprocedure	Kanske han lekte ensam hemma i köket.	535	1	122	2	
1		trialprocedure	Idag efter rasten flickan grät.	536	1	143	4	
1		trialprocedure	Hemma letade pojken efter sin bok.	537	2	234	3	
1		trialprocedure	Idag jobbade han gärna.	538	2	242	3	
1		trialprocedure	Hemma skrattade han.	539	2	232	3	
1		trialprocedure	Idag efter skolan flickan skrattade åt Eric när han busade.	540	1	143	4	
1		trialprocedure	Hemma i Lund han skrattade.	541	1	131	4	
1		trialprocedure	Hemma dansade flickan hela dagen.	542	2	234	3	
1		trialprocedure	Kanske hon betalade.	543	1	122	2	
1		trialprocedure	Naturligtvis han kröp.	544	1	112	2	
1		trialprocedure	Idag på rasten läste hon tidningen.	545	2	241	5	
1		trialprocedure	Naturligtvis sov flickan under den varma filten.	546	2	214	3	
1		trialprocedure	Hemma i Lund satt flickan vid sin bänk.	547	2	233	5	
1		trialprocedure	Naturligtvis flickan sprang på gräsmattan tillsammans med Anna.	548	1	114	2	
1		trialprocedure	Hemma han ringde och alla gick in.	549	1	132	2	
1		trialprocedure	Kanske kröp pojken in under filten.	550	2	224	3	
1		trialprocedure	Hemma i Sverige pojken badade gärna.	551	1	133	4	
1		trialprocedure	Naturligtvis arbetade pojken hemma hos Anna.	552	2	214	3	
1		trialprocedure	Naturligtvis spelade hon på sitt piano.	553	2	212	3	
1		trialprocedure	Naturligtvis berättade han vad som hade hänt.	554	2	212	3	
1		trialprocedure	Idag efter rasten han svarade snabbt.	555	1	141	4	
1		trialprocedure	Kanske pojken jobbade med läxan där hemma.	556	1	124	2	
1		trialprocedure	Idag på morgonen dansade pojken runt.	557	2	243	5	
1		trialprocedure	Idag på morgonen tvättade han.	558	2	241	5	
1		trialprocedure	Idag han tvättade.	559	1	142	2	
1		trialprocedure	Hemma sprang han till Sara.	560	2	232	3	
1		trialprocedure	Idag på rasten åt flickan sin mat.	561	2	243	5	
1		trialprocedure	Hemma pojken smakade alla de nybakade kakorna.	562	1	134	2	
1		trialprocedure	Idag på morgonen sprang pojken hem till Maria.	563	2	243	5	
1		trialprocedure	Idag han betalade.	564	1	142	2	
1		trialprocedure	Hemma hon talade med Erik.	565	1	132	2	
1		trialprocedure	Kanske hon talade med sin fröken.	566	1	122	2	
1		trialprocedure	Hemma i Lund drack flickan saft.	567	2	233	5	
1		trialprocedure	Naturligtvis målade flickan vackra blommor på en tavla.	568	2	214	3	
1		trialprocedure	Idag efter rasten flickan ramlade.	569	1	143	4	
1		trialprocedure	Naturligtvis joggade hon med Sara i skogen.	570	2	212	3	
1		trialprocedure	Idag betalade pojken.	571	2	244	3	
1		trialprocedure	Naturligtvis flickan skrev.	572	1	114	2	
1		trialprocedure	Hemma i Lund satt hon vid sin bänk.	573	2	231	5	
1		trialprocedure	Hemma pojken ringde och alla gick in.	574	1	134	2	
1		trialprocedure	Kanske tittade flickan på Saras nya röda klänning.	575	2	224	3	
1		trialprocedure	Idag efter rasten berättade flickan om sin nya mössa.	576	2	243	5	
1		trialprocedure	Naturligtvis han letade efter henne i skoaffären.	577	1	112	2	
1		trialprocedure	Hemma sov pojken på soffan.	578	2	234	3	
1		trialprocedure	Hemma flickan drack saft.	579	1	134	2	
1		trialprocedure	Idag på morgonen hon talade med Eva och Maria.	580	1	141	4	
1		trialprocedure	Idag sprang han hem till Maria.	581	2	242	3	
1		trialprocedure	Hemma sjöng flickan medan hon städade.	582	2	234	3	
1		trialprocedure	Idag efter lunchen han städade undan sina kläder.	583	1	141	4	
1		trialprocedure	Kanske han satt på soffan och tänkte.	584	1	122	2	
1		trialprocedure	Idag på morgonen drack pojken upp.	585	2	243	5	
1		trialprocedure	Kanske han drack mjölk.	586	1	122	2	
1		trialprocedure	Hemma hos Eric tittade han på Maria och log.	587	2	231	5	
1		trialprocedure	Naturligtvis målade hon vackra blommor på en tavla.	588	2	212	3	
1		trialprocedure	Hemma flickan ramlade.	589	1	134	2	
1		trialprocedure	Kanske flickan sprang snabbast.	590	1	124	2	
1		trialprocedure	Hemma i Lund flickan lekte ensam i köket.	591	1	133	4	
1		trialprocedure	Hemma skrev han kortet med blommorna till Anna.	592	2	232	3	
1		trialprocedure	Kanske låg han och läste tidningen.	593	2	222	3	
1		trialprocedure	Kanske städade flickan huset.	594	2	224	3	
1		trialprocedure	Hemma hos Lars flickan dansade hela dagen.	595	1	133	4	
1		trialprocedure	Idag drack han upp.	596	2	242	3	
1		trialprocedure	Idag på eftermiddagen hon vilade.	597	1	141	4	
1		trialprocedure	Kanske flickan grät för att de var elaka.	598	1	124	2	
1		trialprocedure	Kanske flickan hoppade.	599	1	124	2	
1		trialprocedure	Hemma handlade pojken upp alla pengarna.	600	2	234	3	
1		trialprocedure	Hemma hos Lars dansade hon hela dagen.	601	2	231	5	
1		trialprocedure	Kanske skrattade hon.	602	2	222	3	
1		trialprocedure	Kanske pojken väntade på henne i skoaffären.	603	1	124	2	
1		trialprocedure	Kanske grät hon för att de var elaka.	604	2	222	3	
1		trialprocedure	Idag efter skolan pojken arbetade.	605	1	143	4	
1		trialprocedure	Idag ringde han till sin pappa.	606	2	242	3	
1		trialprocedure	Hemma betalade flickan för bollen.	607	2	234	3	
1		trialprocedure	Hemma hoppade pojken högt.	608	2	234	3	
1		trialprocedure	Hemma i Malmö han åt godiset själv.	609	1	131	4	
1		trialprocedure	Idag flickan joggade hela vägen hem.	610	1	144	2	
1		trialprocedure	Naturligtvis han klättrade upp i trädet snabbt.	611	1	112	2	
1		trialprocedure	Hemma i Malmö skrev pojken kortet med blommorna till Anna.	612	2	233	5	
1		trialprocedure	Idag hon berättade om sin nya mössa.	613	1	142	2	
1		trialprocedure	Hemma i Sverige ramlade hon.	614	2	231	5	
1		trialprocedure	Idag grät flickan.	615	2	244	3	
1		trialprocedure	Idag på eftermiddagen kröp flickan upp i soffan till Anna.	616	2	243	5	
1		trialprocedure	Hemma pojken svarade på frågan.	617	1	134	2	
1		trialprocedure	Naturligtvis han jobbade hemma.	618	1	112	2	
1		trialprocedure	Hemma han sparkade boll.	619	1	132	2	
1		trialprocedure	Hemma i Malmö sov pojken på soffan.	620	2	233	5	
1		trialprocedure	Naturligtvis jobbade pojken hemma.	621	2	214	3	
1		trialprocedure	Naturligtvis tvättade pojken Saras nya röda klänning.	622	2	214	3	
1		trialprocedure	Kanske hon hoppade.	623	1	122	2	
1		trialprocedure	Hemma i Malmö smakade pojken alla de nybakade kakorna.	624	2	233	5	
1		trialprocedure	Hemma hon tvättade filten.	625	1	132	2	
1		trialprocedure	Naturligtvis hon städade hela köket.	626	1	112	2	
1		trialprocedure	Hemma i Sverige han handlade upp alla pengarna.	627	1	131	4	
1		trialprocedure	Kanske åt flickan godiset själv.	628	2	224	3	
1		trialprocedure	Kanske drack pojken mjölk.	629	2	224	3	
1		trialprocedure	Kanske hon svarade att Erik var hungrig.	630	1	122	2	
1		trialprocedure	Idag på morgonen han drack upp.	631	1	141	4	
1		trialprocedure	Hemma satt hon vid sin bänk.	632	2	232	3	
1		trialprocedure	Naturligtvis flickan smakade.	633	1	114	2	
1		trialprocedure	Naturligtvis pojken letade efter henne i skoaffären.	634	1	114	2	
1		trialprocedure	Hemma i Lund klättrade han upp till skåpen.	635	2	231	5	
1		trialprocedure	Idag ramlade flickan.	636	2	244	3	
1		trialprocedure	Idag efter rasten hon satt.	637	1	141	4	
1		trialprocedure	Hemma hon betalade för bollen.	638	1	132	2	
1		trialprocedure	Idag hon ramlade.	639	1	142	2	
1		trialprocedure	Idag på morgonen ringde pojken till sin pappa.	640	2	243	5	
1		trialprocedure	Idag efter skolan hon klättrade upp i trädet snabbt.	641	1	141	4	
1		trialprocedure	Naturligtvis handlade flickan tidningen.	642	2	214	3	
1		trialprocedure	Kanske hon städade huset.	643	1	122	2	
1		trialprocedure	Hemma hos Eva han jobbade gärna.	644	1	131	4	
1		trialprocedure	Kanske dansade flickan bara med Eric och Anders.	645	2	224	3	
1		trialprocedure	Kanske skrev hon i sin bok.	646	2	222	3	
1		trialprocedure	Hemma i Malmö han målade bänken.	647	1	131	4	
1		trialprocedure	Kanske vilade hon.	648	2	222	3	
1		trialprocedure	Idag efter skolan pojken betalade.	649	1	143	4	
1		trialprocedure	Idag badade flickan.	650	2	244	3	
1		trialprocedure	Naturligtvis hoppade hon gärna.	651	2	212	3	
1		trialprocedure	Idag efter skolan skrattade hon åt Eric när han busade.	652	2	241	5	
1		trialprocedure	Kanske hon sprang snabbast.	653	1	122	2	
1		trialprocedure	Hemma flickan arbetade medan Sara lekte.	654	1	134	2	
1		trialprocedure	Kanske tystnade flickan.	655	2	224	3	
1		trialprocedure	Hemma i Lund flickan låg på soffan och tänkte.	656	1	133	4	
1		trialprocedure	Idag talade hon med Eva och Maria.	657	2	242	3	
1		trialprocedure	Hemma tystnade han för att lyssna på fåglarna.	658	2	232	3	
1		trialprocedure	Hemma hos Eric tittade pojken på Maria och log.	659	2	233	5	
1		trialprocedure	Hemma han sov på soffan.	660	1	132	2	
1		trialprocedure	Idag han målade en bild av en sjö.	661	1	142	2	
1		trialprocedure	Hemma i Lund kröp han in under den varma filten.	662	2	231	5	
1		trialprocedure	Kanske pojken lekte ensam hemma i köket.	663	1	124	2	
1		trialprocedure	Hemma hos Eva flickan pratade med Eva och Maria.	664	1	133	4	
1		trialprocedure	Idag flickan skrattade åt Eric när han busade.	665	1	144	2	
1		trialprocedure	Naturligtvis sjöng hon sånger där inne.	666	2	212	3	
1		trialprocedure	Hemma åt han godiset själv.	667	2	232	3	
1		trialprocedure	Hemma i Lund klättrade pojken upp till skåpen.	668	2	233	5	
1		trialprocedure	Hemma flickan talade med Erik.	669	1	134	2	
1		trialprocedure	Kanske kröp han in under filten.	670	2	222	3	
1		trialprocedure	Idag på eftermiddagen hoppade pojken på studsmattan hela kvällen.	671	2	243	5	
1		trialprocedure	Idag på rasten hon åt sin mat.	672	1	141	4	
1		trialprocedure	Naturligtvis hon satt och läste tidningen.	673	1	112	2	
1		trialprocedure	Hemma städade flickan hela dagen.	674	2	234	3	
1		trialprocedure	Naturligtvis läste pojken läxan.	675	2	214	3	
1		trialprocedure	Hemma i Malmö sov han på soffan.	676	2	231	5	
1		trialprocedure	Naturligtvis pojken ringde till Anna sent på kvällen.	677	1	114	2	
1		trialprocedure	Hemma i Malmö målade pojken bänken.	678	2	233	5	
1		trialprocedure	Idag låg hon i soffan och läste.	679	2	242	3	
1		trialprocedure	Idag flickan läste tidningen.	680	1	144	2	
1		trialprocedure	Idag flickan letade efter bollen nere vid sjön.	681	1	144	2	
1		trialprocedure	Hemma i Lund hon arbetade medan Sara lekte.	682	1	131	4	
1		trialprocedure	Kanske skrev flickan i sin bok.	683	2	224	3	
1		trialprocedure	Idag han handlade alla de nybakade kakorna.	684	1	142	2	
1		trialprocedure	Hemma i Malmö skrev han kortet med blommorna till Anna.	685	2	231	5	
1		trialprocedure	Kanske hon vaknade.	686	1	122	2	
1		trialprocedure	Kanske ramlade pojken och blev ledsen.	687	2	224	3	
1		trialprocedure	Hemma sjöng hon medan hon städade.	688	2	232	3	
1		trialprocedure	Hemma hos Eric pojken vaknade.	689	1	133	4	
1		trialprocedure	Idag på morgonen målade pojken en bild av en sjö.	690	2	243	5	
1		trialprocedure	Idag väntade hon på Anna.	691	2	242	3	
1		trialprocedure	Kanske han sjöng för Sara.	692	1	122	2	
1		trialprocedure	Idag på morgonen pojken vaknade under filten.	693	1	143	4	
1		trialprocedure	Idag tittade hon på alla de vackra blommorna.	694	2	242	3	
1		trialprocedure	Hemma i Lund flickan sjöng medan hon städade.	695	1	133	4	
1		trialprocedure	Kanske svarade flickan att Erik var hungrig.	696	2	224	3	
1		trialprocedure	Kanske spelade han kort med farfar.	697	2	222	3	
1		trialprocedure	Kanske hon handlade en ny mössa.	698	1	122	2	
1		trialprocedure	Hemma i Sverige pojken sparkade.	699	1	133	4	
1		trialprocedure	Hemma pojken badade gärna.	700	1	134	2	
1		trialprocedure	Kanske smakade hon Annas kakor.	701	2	222	3	
1		trialprocedure	Naturligtvis flickan vilade bakom trädet.	702	1	114	2	
1		trialprocedure	Hemma hos Anna hon berättade vad hon bakade hos Anna.	703	1	131	4	
1		trialprocedure	Idag satt flickan.	704	2	244	3	
1		trialprocedure	Kanske han sparkade boll.	705	1	122	2	
1		trialprocedure	Naturligtvis väntade han.	706	2	212	3	
1		trialprocedure	Hemma i Lund hon vilade länge.	707	1	131	4	
1		trialprocedure	Hemma vaknade pojken.	708	2	234	3	
1		trialprocedure	Hemma i Lund han letade efter sin bok.	709	1	131	4	
1		trialprocedure	Kanske ramlade han och blev ledsen.	710	2	222	3	
1		trialprocedure	Idag hon badade.	711	1	142	2	
1		trialprocedure	Kanske pojken sjöng för Sara.	712	1	124	2	
1		trialprocedure	Idag efter rasten hon pratade med sin fröken.	713	1	141	4	
1		trialprocedure	Kanske joggade hon hem.	714	2	222	3	
1		trialprocedure	Naturligtvis joggade flickan med Sara I skogen.	715	2	214	3	
1		trialprocedure	Naturligtvis pratade han med sin fröken.	716	2	212	3	
1		trialprocedure	Idag på morgonen flickan talade med Eva och Maria.	717	1	143	4	
1		trialprocedure	Naturligtvis talade flickan med Anders.	718	2	214	3	
1		trialprocedure	Idag sjöng hon hemma i köket.	719	2	242	3	
1		trialprocedure	Idag flickan klättrade upp i trädet snabbt.	720	1	144	2	
1		trialprocedure	Hemma i Malmö joggade pojken.	721	2	233	5	
1		trialprocedure	Idag åt flickan sin mat.	722	2	244	3	
1		trialprocedure	Hemma grät hon.	723	2	232	3	
1		trialprocedure	Kanske flickan talade med sin fröken.	724	1	124	2	
1		trialprocedure	Idag efter lunchen pojken jobbade gärna.	725	1	143	4	
1		trialprocedure	Hemma i Lund låg hon på soffan och tänkte.	726	2	231	5	
1		trialprocedure	Idag skrev flickan i sin dagbok.	727	2	244	3	
1		trialprocedure	Idag flickan lekte med Anders och Erik.	728	1	144	2	
1		trialprocedure	Naturligtvis väntade pojken.	729	2	214	3	
1		trialprocedure	Hemma hos Eric vaknade han.	730	2	231	5	
1		trialprocedure	Hemma smakade han alla de nybakade kakorna.	731	2	232	3	
1		trialprocedure	Hemma i Lund hon sjöng medan hon städade.	732	1	131	4	
1		trialprocedure	Kanske flickan skrattade.	733	1	124	2	
1		trialprocedure	Naturligtvis betalade pojken godiset själv med sina pengar.	734	2	214	3	
1		trialprocedure	Idag efter rasten grät hon.	735	2	241	5	
1		trialprocedure	Hemma pojken målade bänken.	736	1	134	2	
1		trialprocedure	Naturligtvis pratade pojken med sin fröken.	737	2	214	3	
1		trialprocedure	Kanske klättrade han ner från trädet.	738	2	222	3	
1		trialprocedure	Idag på morgonen han målade en bild av en sjö.	739	1	141	4	
1		trialprocedure	Idag på eftermiddagen flickan vilade.	740	1	143	4	
1		trialprocedure	Hemma pojken skrev kortet med blommorna till Anna.	741	1	134	2	
1		trialprocedure	Hemma läste flickan en bok för Sara.	742	2	234	3	
1		trialprocedure	Idag hon tystnade när hon fick se hunden.	743	1	142	2	
1		trialprocedure	Idag efter lunchen spelade pojken fotboll på gräsmattan.	744	2	243	5	
1		trialprocedure	Naturligtvis dansade pojken hela dagen hemma i vardagsrummet.	745	2	214	3	
1		trialprocedure	Idag han svarade snabbt.	746	1	142	2	
1		trialprocedure	Idag på rasten tittade hon på alla de vackra blommorna.	747	2	241	5	
1		trialprocedure	Idag flickan berättade om sin nya mössa.	748	1	144	2	
1		trialprocedure	Hemma i Lund skrattade pojken.	749	2	233	5	
1		trialprocedure	Naturligtvis han läste läxan.	750	1	112	2	
1		trialprocedure	Idag på eftermiddagen flickan sjöng hemma i köket.	751	1	143	4	
1		trialprocedure	Idag åt hon sin mat.	752	2	242	3	
1		trialprocedure	Naturligtvis sov hon under den varma filten.	753	2	212	3	
1		trialprocedure	Idag spelade pojken fotboll på gräsmattan.	754	2	244	3	
1		trialprocedure	Hemma i Sverige han väntade på att Anna skulle komma.	755	1	131	4	
1		trialprocedure	Hemma hon städade hela dagen.	756	1	132	2	
1		trialprocedure	Idag efter skolan klättrade flickan upp i trädet snabbt.	757	2	243	5	
1		trialprocedure	Naturligtvis flickan badade hemma ikväll.	758	1	114	2	
1		trialprocedure	Idag spelade han fotboll på gräsmattan.	759	2	242	3	
1		trialprocedure	Hemma i Malmö han smakade alla de nybakade kakorna.	760	1	131	4	
1		trialprocedure	Naturligtvis skrev hon.	761	2	212	3	
1		trialprocedure	Hemma i Lund pojken kröp in under den varma filten.	762	1	133	4	
1		trialprocedure	Hemma jobbade han gärna.	763	2	232	3	
1		trialprocedure	Hemma hon vilade länge.	764	1	132	2	
1		trialprocedure	Kanske flickan tvättade kläderna.	765	1	124	2	
1		trialprocedure	Idag på morgonen vaknade han under filten.	766	2	241	5	
1		trialprocedure	Idag hon satt.	767	1	142	2	
1		trialprocedure	Naturligtvis hon vaknade på soffan.	768	1	112	2	
1		trialprocedure	Naturligtvis sjöng flickan sånger där inne.	769	2	214	3	
1		trialprocedure	Idag efter lunchen skrev flickan i sin dagbok.	770	2	243	5	
1		trialprocedure	Hemma i Sverige han badade gärna.	771	1	131	4	
1		trialprocedure	Naturligtvis han ramlade ner från trädet.	772	1	112	2	
1		trialprocedure	Kanske flickan vilade på gräsmattan.	773	1	124	2	
1		trialprocedure	Idag dansade pojken runt.	774	2	244	3	
1		trialprocedure	Hemma i Lund lekte hon ensam i köket.	775	2	231	5	
1		trialprocedure	Idag arbetade han.	776	2	242	3	
1		trialprocedure	Idag pojken handlade alla de nybakade kakorna.	777	1	144	2	
1		trialprocedure	Kanske flickan smakade Annas kakor.	778	1	124	2	
1		trialprocedure	Idag efter skolan han arbetade.	779	1	141	4	
1		trialprocedure	Hemma i Sverige sprang pojken till Sara.	780	2	233	5	
1		trialprocedure	Hemma hos Maria läste flickan en bok för Sara.	781	2	233	5	
1		trialprocedure	Hemma flickan vilade länge.	782	1	134	2	
1		trialprocedure	Kanske målade hon en bild på hunden.	783	2	222	3	
1		trialprocedure	Naturligtvis badade hon hemma ikväll.	784	2	212	3	
1		trialprocedure	Idag efter lunchen han jobbade gärna.	785	1	141	4	
1		trialprocedure	Kanske pojken satt på soffan och tänkte.	786	1	124	2	
1		trialprocedure	Kanske hon åt godiset själv.	787	1	122	2	
1		trialprocedure	Kanske ringde pojken till Erik senare på kvällen.	788	2	224	3	
1		trialprocedure	Hemma i Sverige ringde pojken och alla gick in.	789	2	233	5	
1		trialprocedure	Idag jobbade pojken gärna.	790	2	244	3	
1		trialprocedure	Hemma i Sverige han svarade på frågan.	791	1	131	4	
1		trialprocedure	Idag vaknade han under filten.	792	2	242	3	
1		trialprocedure	Hemma han handlade upp alla pengarna.	793	1	132	2	
1		trialprocedure	Naturligtvis flickan vaknade på soffan.	794	1	114	2	
1		trialprocedure	Idag efter lunchen hon skrev i sin dagbok.	795	1	141	4	
1		trialprocedure	Hemma i Lund drack hon saft.	796	2	231	5	
1		trialprocedure	Idag på eftermiddagen han hoppade på studsmattan hela kvällen.	797	1	141	4	
1		trialprocedure	Kanske flickan vaknade.	798	1	124	2	
1		trialprocedure	Hemma pojken väntade på att Anna skulle komma.	799	1	134	2	
1		trialprocedure	Idag på eftermiddagen lekte flickan med Anders och Erik.	800	2	243	5	
1		trialprocedure	Hemma joggade han.	801	2	232	3	
1		trialprocedure	Naturligtvis tvättade han Saras nya röda klänning.	802	2	212	3	
1		trialprocedure	Hemma hon dansade hela dagen.	803	1	132	2	
1		trialprocedure	Hemma hos Anna flickan berättade vad hon bakade hos Anna.	804	1	133	4	
1		trialprocedure	Hemma grät flickan.	805	2	234	3	
1		trialprocedure	Idag hon pratade med sin fröken.	806	1	142	2	
1		trialprocedure	Idag han städade undan sina kläder.	807	1	142	2	
1		trialprocedure	Idag på eftermiddagen kröp hon upp i soffan till Anna.	808	2	241	5	
1		trialprocedure	Hemma pojken tittade på Maria och log.	809	1	134	2	
1		trialprocedure	Hemma jobbade pojken gärna.	810	2	234	3	
1		trialprocedure	Idag sparade flickan pengarna till kakorna.	811	2	244	3	
1		trialprocedure	Idag efter lunchen spelade han fotboll på gräsmattan.	812	2	241	5	
1		trialprocedure	Hemma pojken åt godiset själv.	813	1	134	2	
1		trialprocedure	Naturligtvis handlade hon tidningen.	814	2	212	3	
1		trialprocedure	Hemma hos Anders hon tvättade filten.	815	1	131	4	
1		trialprocedure	Hemma hon pratade med Eva och Maria.	816	1	132	2	
1		trialprocedure	Hemma pojken sprang till Sara.	817	1	134	2	
1		trialprocedure	Idag på eftermiddagen handlade pojken alla de nybakade kakorna.	818	2	243	5	
1		trialprocedure	Idag låg flickan i soffan och läste.	819	2	244	3	
1		trialprocedure	Idag hon lekte med Anders och Erik.	820	1	142	2	
1		trialprocedure	Hemma i Sverige pojken spelade match.	821	1	133	4	
1		trialprocedure	Idag drack pojken upp.	822	2	244	3	
1		trialprocedure	Kanske spelade pojken kort med farfar.	823	2	224	3	
1		trialprocedure	Kanske berättade hon vad som hade hänt.	824	2	222	3	
1		trialprocedure	Idag efter skolan flickan badade.	825	1	143	4	
1		trialprocedure	Naturligtvis arbetade han hemma hos Anna.	826	2	212	3	
1		trialprocedure	Naturligtvis flickan drack mjölk.	827	1	114	2	
1		trialprocedure	Idag flickan sjöng hemma i köket.	828	1	144	2	
1		trialprocedure	Idag efter skolan flickan låg i soffan och läste.	829	1	143	4	
1		trialprocedure	Hemma drack hon saft.	830	2	232	3	
1		trialprocedure	Hemma berättade hon vad hon bakade hos Anna.	831	2	232	3	
1		trialprocedure	Hemma hon arbetade medan Sara lekte.	832	1	132	2	
1		trialprocedure	Idag efter lunchen pojken smakade mjölken.	833	1	143	4	
1		trialprocedure	Idag pojken smakade mjölken.	834	1	144	2	
1		trialprocedure	Idag på eftermiddagen väntade hon på Anna.	835	2	241	5	
1		trialprocedure	Naturligtvis smakade hon.	836	2	212	3	
1		trialprocedure	Kanske sparkade pojken boll.	837	2	224	3	
1		trialprocedure	Idag pojken ringde till sin pappa.	838	1	144	2	
1		trialprocedure	Hemma i Sverige ramlade flickan.	839	2	233	5	
1		trialprocedure	Naturligtvis hon drack mjölk.	840	1	112	2	
1		trialprocedure	Naturligtvis hon tittade på matchen.	841	1	112	2	
1		trialprocedure	Idag på eftermiddagen sjöng hon hemma i köket.	842	2	241	5	
1		trialprocedure	Kanske flickan betalade.	843	1	124	2	
1		trialprocedure	Hemma sparkade pojken boll.	844	2	234	3	
1		trialprocedure	Hemma hos Anna hon grät.	845	1	131	4	
1		trialprocedure	Kanske berättade flickan vad som hade hänt.	846	2	224	3	
1		trialprocedure	Naturligtvis vilade hon bakom trädet.	847	2	212	3	
1		trialprocedure	Kanske badade hon.	848	2	222	3	
1		trialprocedure	Idag på eftermiddagen pojken sov i gräset.	849	1	143	4	
1		trialprocedure	Kanske hon sov på soffan.	850	1	122	2	
1		trialprocedure	Hemma målade han bänken.	851	2	232	3	
1		trialprocedure	Hemma pojken klättrade upp till skåpen.	852	1	134	2	
1		trialprocedure	Idag efter rasten pojken svarade snabbt.	853	1	143	4	
1		trialprocedure	Naturligtvis pojken grät när Sara gick på fest.	854	1	114	2	
1		trialprocedure	Idag skrattade hon åt Eric när han busade.	855	2	242	3	
1		trialprocedure	Naturligtvis hon sparkade bollen till sina vänner.	856	1	112	2	
1		trialprocedure	Idag efter rasten sparade hon pengarna till kakorna.	857	2	241	5	
1		trialprocedure	Kanske pojken låg och läste tidningen.	858	1	124	2	
1		trialprocedure	Naturligtvis han betalade godiset själv med sina pengar.	859	1	112	2	
1		trialprocedure	Naturligtvis skrattade hon.	860	2	212	3	
1		trialprocedure	Idag efter lunchen han smakade mjölken.	861	1	141	4	
1		trialprocedure	Idag flickan kröp upp i soffan till Anna.	862	1	144	2	
